NOTES: I need the things marked with an X,,,
name,Cart,Box,Instructions
Star Wars The Empire Strikes Back,,x,x
Starship Hector,,x,x
Stealth,,x,x
Stinger,,x,x
Street Cop,x,x,x
Street Fighter 2010 the Final Fight,,,
Strider,,x,x
Stunt Kids,x,x,x
Sunday Funday,x,x,x
Super C,,x,x
Super Cars,x,x,x
Super Dodge Ball,,,
Super Glove Ball,,,
Super Mario Bros,,,
Super Mario Bros 2,,,
Super Mario Bros 3,,,
Super Mario Bros Duck Hunt World Class Track Meet,,,
Super Mario Bros and Duck Hunt,,,
Super Off Road,,x,x
Super Pitfall,,x,x
Super Spike Volleyball,,x,x
Super Spike Volleyball and World Cup Soccer,x,x,x
Super Sprint,,x,x
Super Spy Hunter,x,x,x
Super Team Games,,x,x
Superman,x,x,x
Swamp Thing,,,
Sword Master,x,x,x
Swords and Serpents,,,
Taboo the Sixth Sense,,x,x
Tag Team Wrestling,x,x,x
Tagin' Dragon,x,x,x
TaleSpin,,x,x
Talking Super Jeopardy,,,
Target Renegade,,x,x
Tecmo Baseball,x,x,x
Tecmo Bowl,,x,
Tecmo Cup Soccer,x,x,x
Tecmo NBA Basketball,,x,x
Tecmo Super Bowl,,x,x
Tecmo World Wrestling,,x,x
Teenage Mutant Ninja Turtles,,x,x
Teenage Mutant Ninja Turtles II,,x,x
Teenage Mutant Ninja Turtles III The Manhattan Project,,x,x
Teenage Mutant Ninja Turtles Tournament Fighters,x,x,x
Tennis,,,
Terminator,,x,x
Terminator 2 Judgment Day,,x,x
Terra Cresta,x,x,x
Tetris,,,
Tetris 2,,x,
Tetris [Tengen],,x,x
The Adventures of Rocky and Bullwinkle and Friends,x,x,x
The Goonies II,,x,x
The Guardian Legend,,x,x
The Jungle Book,,x,x
The Karate Kid,,,
The Last Ninja,x,x,x
The Mafat Conspiracy,,,
The Magic of Scheherazade,,x,x
The Punisher,,,
The Ren and Stimpy Show Buckeroos,,x,x
The Rocketeer,,,
The Simpsons Bart vs the Space Mutants,,,
The Simpsons Bart vs the World,,x,x
The Simpsons Bartman Meets Radioactive Man,,x,x
The Three Stooges,,,
The Uncanny X-Men,,x,x
The Untouchables,x,x,x
Thunder and Lightning,,x,x
Thunderbirds,,x,x
Thundercade,x,x,x
Tiger-Heli,,x,x
Tiles of Fate,,x,x
Time Lord,,,
Times of Lore,x,x,x
Tiny Toon Adventures,x,x,x
Tiny Toon Adventures 2 Trouble in Wackyland,x,x,x
Tiny Toon Adventures Cartoon Workshop,x,x,x
To the Earth,,,
Toki,x,x,x
Tom and Jerry,,x,x
Tombs and Treasure,x,x,x
Toobin',,x,x
Top Gun,,,
Top Gun The Second Mission,,x,x
Top Players Tennis,,x,x
Total Recall,,,
Totally Rad,,,
Touchdown Fever,,x,x
Town & Country II: Thrilla's Surfari,x,x,x
Town & Country Surf Designs: Wood and Water Rage,,x,x
Toxic Crusaders,,,
Track and Field,,x,x
Track and Field II,,,
Treasure Master,,x,x
Trog,,x,x
Trojan,,x,x
Trolls on Treasure Island,x,x,x
Twin Cobra,,x,x
Twin Eagle,,x,x
Ultima Exodus,,x,x
Ultima Quest of the Avatar,,x,x
Ultima Warriors of Destiny,x,x,x
Ultimate Air Combat,x,x,x
Ultimate Basketball,,,
Ultimate League Soccer,x,x,x
Ultimate Stuntman,,x,x
Uncharted Waters,x,x,x
Uninvited,x,x,x
Urban Champion,,x,x
Vegas Dream,,x,x
Venice Beach Volleyball,x,x,x
Vice Project Doom,,,
Videomation,x,x,x
Vindicators,,,
Volleyball,,,
WCW World Championship Wrestling,,x,x
WWF King of the Ring,,x,x
WWF Wrestlemania,,x,x
WWF Wrestlemania Challenge,,x,x
WWF Wrestlemania Steel Cage Challenge,,x,x
Wacky Races,,x,x
Wall Street Kid,,,
Wally Bear and the No Gang,x,x,x
Wario's Woods,x,x,x
Wayne Gretzky Hockey,x,x,x
Wayne's World,x,x,x
Werewolf,,x,x
Wheel of Fortune,,x,
Wheel of Fortune Family Edition,,x,x
Wheel of Fortune Featuring Vanna White,x,x,x
Wheel of Fortune Junior Edition,,x,x
Where in Time is Carmen Sandiego,,,
Where's Waldo,,,
Who Framed Roger Rabbit,,x,x
Whomp 'Em,x,x,x
Widget,,x,
Wild Gunman,,x,x
Willow,,,x
Win Lose or Draw,,,
Winter Games,,x,x
Wizardry: Knight of Diamonds Second Scenario,,x,x
Wizardry: Proving Grounds of the Mad Overlord,,x,x
Wizards and Warriors,,x,x
Wizards and Warriors III Kuros Visions of Power,,,
Wolverine,,x,x
World Champ,x,x,x
World Class Track Meet,,x,x
World Games,,x,x
Wrath of the Black Manta,,,
Wrecking Crew,,,
Wurm Journey to the Center of the Earth,,,
Xenophobe,,x,x
Xevious,,,
Xexyz,,x,x
Yo Noid,,,
Yoshi,,x,x
Yoshi's Cookie,,,
Young Indiana Jones Chronicles,x,x,x
Zanac,,x,x
Zelda II The Adventure of Link,,x,
Zen Intergalactic Ninja,x,x,x
Zombie Nation,x,x,x
