Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
Dragon Power,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Dragon Spirit,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Dragon Warrior,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.38,,,,,,
Duck Hunt,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.80,,,,,,
Duck Hunt,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
DuckTales,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.25,,,,,,
DuckTales 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$122.25,$300.00,,,,,
DuckTales 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$122.25,,,,,,
Dungeon Magic,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Dungeon Magic: Sword of the Elements,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.64,,,,,,
Dusty Diamond's All-Star Softball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$55.00,,,,,,
Dynowarz: Destruction of Spoondylus,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.54,,,,,,
Elevator Action,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.28,,,,,,
Excitebike,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.50,,,,,,
Exodus: Journey to the Promised Land,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.19,,,,,,
F-117A Stealth Fighter,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.96,,,,,,
F-15 City War,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.67,,,,,,
Family Feud (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Faxanadu,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.24,,,,,,
Felix the Cat,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$55.13,,,,,,
Ferrari Grand Prix Challenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.52,,,,,,
Fester's Quest,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.30,,,,,,
Final Fantasy,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.43,,,,,,
Firehawk,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.00,,,,,,
Fisher-Price: Perfect Fit,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.70,,,,,,
Flying Dragon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Flying Warriors,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.85,,,,,,
Fox's Peter Pan & the Pirates: The Revenge of Captain Hook,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.72,,,,,,
Frankenstein: The Monster Returns,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$55.49,,,,,,
Freedom Force (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.50,,,,,,
Friday the 13th,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.50,,,,,,
Fun House,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.43,,,,,,
Galactic Crusader,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$33.93,,,,,,
Galaga: Demons of Death,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.75,,,,,,
Gauntlet (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Gauntlet II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.07,,,,,,
George Foreman's KO Boxing,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.56,,,,,,
Ghost Lion,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$52.36,,,,,,
Ghostbusters (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.35,,,,,,
Ghostbusters II (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.84,,,,,,
Ghosts 'n Goblins (1986),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.52,,,,,,
Goal!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.34,,,,,,
Godzilla (1995),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Golf (1984),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.11,,,,,,
Golgo 13: Top Secret Episode,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.36,,,,,,
Gotcha! The Sport!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.99,,,,,,
Gradius (1986),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.16,,,,,,
Gremlins 2: The New Batch,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.25,,,,,,
Guerrilla War,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.98,,,,,,
Gumshoe,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.41,,,,,,
Gun Nac,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$207.36,,,,,,
Gun.Smoke,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.99,,,,,,
Gyromite,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.51,,,,,,
Gyruss,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.41,,,,,,
